Key,Name,Hex
color.green,Spanish Viridian,#007F5C
color.brown,Spicy Mix,#8B5F4D
color.green,Spring Bud,#A7FC00
color.green,Spring Green,#00FF7F
color.blue,Star Command Blue,#007BB8
color.blue,Steel Blue,#4682B4
color.pink,Steel Pink,#CC33CC
color.yellow,Stil de Grain Yellow,#FADA5E
color.red,Stizza,#990000
color.grey,Stormcloud,#4F666A
color.yellow,Straw,#E4D96F
color.pink,Strawberry,#FC5A8D
color.purple,Sugar Plum,#914E75
color.yellow,Sunray,#E3AB57
color.orange,Sunset,#FAD6A5
color.pink,Super Pink,#CF6BA9
color.brown,Sweet Brown,#A83731
color.brown,Tan,#D2B48C
color.orange,Tangelo,#F94D00
color.orange,Tangerine,#F28500
color.yellow,Tangerine Yellow,#FFCC00
color.pink,Tango Pink,#E4717A
color.orange,Tart Orange,#FB4D46
color.grey,Taupe,#483C32
color.grey,Taupe Gray,#8B8589
color.green,Tea Green,#D0F0C0
color.pink,Tea Rose,#F4C2C2
color.green,Teal,#008080
color.blue,Teal Blue,#367588
color.green,Teal Deer,#99E6B3
color.green,Teal Green,#00827F
color.purple,Telemagenta,#CF3476
color.orange,Tenné,#CD5700
color.red,Terra Cotta,#E2725B
color.purple,Thistle,#D8BFD8
color.pink,Thulian Pink,#DE6FA1
color.pink,Tickle Me Pink,#FC89AC
color.grey,Timberwolf,#DBD7D2
color.yellow,Titanium Yellow,#EEE600
color.red,Tomato,#FF6347
color.blue,Toolbox,#746CC0
color.yellow,Topaz,#FFC87C
color.red,Tractor Red,#FD0E35
color.grey,Trolley Grey,#808080
color.green,Tropical Rain Forest,#00755E
color.blue,True Blue,#0073CF
color.blue,Tufts Blue,#3E8EDE
color.brown,Tumbleweed,#DEAA88
color.pink,Turkish Rose,#B57281
color.blue,Turquoise,#40E0D0
color.blue,Turquoise Blue,#00FFEF
color.green,Turquoise Green,#A0D6B4
color.red,Tuscan Red,#7C4848
color.pink,Tuscany,#C09999
color.purple,Twilight Lavender,#8A496B
color.purple,Tyrian Purple,#66023C
color.purple,Ube,#8878C3
color.blue,Ultramarine,#3F00FF
color.blue,Ultramarine Blue,#4166F5
color.pink,Ultra Pink,#FF6FFF
color.red,Ultra Red,#FC6C85
color.brown,Umber,#635147
color.white,Unbleached Silk,#FFDDCA
color.blue,United Nations Blue,#5B92E5
color.red,University Of Pennsylvania Red,#A50021
color.yellow,Unmellow Yellow,#FFFF66
color.green,UP Forest Green,#014421
color.red,Upsdell Red,#AE2029
color.yellow,Urobilin,#E1AD21
color.blue,USAFA Blue,#004F98
color.red,USC Cardinal,#990000
color.red,Utah Crimson,#D3003F
color.yellow,Vanilla,#F3E5AB
color.pink,Vanilla Ice,#F38FA9
color.yellow,Vegas Gold,#C5B358
color.red,Venetian Red,#C80815
color.green,Verdigris,#43B3AE
color.red,Vermilion,#E34234
color.purple,Veronica,#A020F0
color.purple,Violet,#8F00FF
color.blue,Violet Blue,#324AB2
color.red,Violet Red,#F75394
color.green,Viridian,#40826D
color.green,Viridian Green,#009698
color.red,Vivid Burgundy,#9F1D35
color.blue,Vivid Sky Blue,#00CCFF
color.orange,Vivid Tangerine,#FFA089
color.purple,Vivid Violet,#9F00FF
color.green,Volt,#CEFF00
color.green,Wageningen Green,#34B233
color.black,Warm Black,#004242
color.blue,Waterspout,#A4F4F9
color.brown,Wenge,#645452
color.brown,Wheat,#F5DEB3
color.white,White,#FFFFFF
color.white,White Smoke,#F5F5F5
color.blue,Wild Blue Yonder,#A2ADD0
color.pink,Wild Orchid,#D470A2
color.pink,Wild Strawberry,#FF43A4
color.pink,Wild Watermelon,#FC6C85
color.orange,Willpower Orange,#FD5800
color.brown,Windsor Tan,#A75502
color.red,Wine,#722F37
color.red,Wine Dregs,#673147
color.pink,Winter Sky,#FF007C
color.green,Wintergreen Dream,#56887D
color.purple,Wisteria,#C9A0DC
color.brown,Wood Brown,#C19A6B
color.green,Xanadu,#738678
color.blue,Yale Blue,#0F4D92
color.yellow,Yellow,#FFFF00
color.green,Yellow Green,#9ACD32
color.orange,Yellow Orange,#FFAE42
color.blue,YInMn Blue,#2E5090
color.blue,Zaffre,#0014A8
color.brown,Zinnwaldite Brown,#2C1608
color.green,Zomp,#39A78E
